iter	Passed	Remaining
0	136	136650
1	139	69612
2	142	47294
3	145	36114
4	149	29656
5	151	25163
6	154	21961
7	157	19551
8	161	17750
9	164	16304
10	167	15065
11	170	14032
12	174	13248
13	175	12383
14	177	11641
15	178	10979
16	179	10394
17	180	9872
18	182	9406
19	183	8987
20	184	8605
21	185	8258
22	186	7941
23	188	7658
24	189	7392
25	190	7147
26	192	6925
27	193	6713
28	194	6514
29	195	6328
30	196	6155
31	198	5991
32	199	5841
33	200	5697
34	202	5571
35	203	5454
36	204	5332
37	206	5217
38	207	5107
39	208	5003
40	209	4903
41	210	4809
42	212	4718
43	213	4632
44	214	4549
45	215	4473
46	216	4398
47	218	4325
48	219	4255
49	220	4188
50	221	4125
51	222	4063
52	224	4003
53	225	3946
54	226	3891
55	227	3838
56	228	3786
57	230	3741
58	231	3693
59	232	3646
60	233	3600
61	235	3556
62	236	3513
63	237	3472
64	238	3433
65	239	3395
66	241	3357
67	241	3313
68	243	3278
69	244	3247
70	245	3213
71	246	3180
72	247	3147
73	249	3116
74	250	3085
75	251	3056
76	252	3028
77	253	2999
78	254	2972
79	256	2945
80	257	2918
81	258	2897
82	259	2872
83	261	2847
84	261	2819
85	263	2796
86	263	2769
87	265	2747
88	266	2725
89	267	2704
90	268	2684
91	269	2663
92	271	2643
93	272	2626
94	273	2607
95	274	2589
96	276	2570
97	277	2553
98	278	2534
99	279	2517
100	280	2500
101	281	2479
102	282	2462
103	283	2445
104	285	2430
105	286	2416
106	287	2400
107	288	2385
108	290	2370
109	291	2356
110	292	2341
111	293	2327
112	294	2313
113	295	2300
114	297	2286
115	298	2272
116	299	2259
117	300	2246
118	301	2232
119	302	2220
120	303	2208
121	305	2195
122	305	2179
123	306	2168
124	308	2156
125	309	2144
126	310	2133
127	311	2119
128	312	2109
129	313	2099
130	314	2089
131	316	2078
132	317	2067
133	318	2058
134	319	2048
135	320	2038
136	322	2029
137	323	2018
138	324	2008
139	325	1999
140	327	1992
141	328	1986
142	330	1977
143	331	1968
144	332	1959
145	333	1951
146	334	1942
147	335	1933
148	337	1925
149	338	1916
150	339	1909
151	340	1901
152	342	1893
153	343	1885
154	344	1877
155	345	1869
156	346	1861
157	347	1854
158	349	1846
159	350	1839
160	351	1831
161	352	1824
162	353	1817
163	355	1810
164	356	1803
165	357	1796
166	358	1789
167	359	1782
168	360	1775
169	362	1768
170	363	1761
171	364	1754
172	365	1748
173	366	1742
174	368	1735
175	369	1729
176	370	1723
177	371	1716
178	372	1710
179	374	1704
180	374	1695
181	375	1689
182	377	1683
183	378	1677
184	379	1671
185	380	1665
186	382	1660
187	383	1655
188	384	1649
189	385	1643
190	386	1638
191	387	1632
192	389	1627
193	390	1621
194	391	1616
195	392	1611
196	393	1605
197	395	1600
198	396	1595
199	397	1590
200	398	1584
201	399	1579
202	401	1574
203	402	1569
204	403	1564
205	404	1559
206	405	1554
207	406	1549
208	408	1544
209	409	1539
210	410	1534
211	411	1530
212	412	1525
213	413	1520
214	415	1515
215	416	1511
216	417	1506
217	418	1502
218	419	1497
219	421	1493
220	422	1488
221	423	1485
222	425	1480
223	426	1476
224	427	1472
225	428	1467
226	429	1463
227	430	1459
228	432	1454
229	433	1450
230	434	1446
231	435	1442
232	436	1438
233	438	1434
234	439	1430
235	440	1425
236	441	1421
237	442	1417
238	443	1413
239	445	1409
240	446	1405
241	447	1401
242	448	1397
243	450	1394
244	451	1391
245	453	1388
246	454	1384
247	455	1380
248	456	1376
249	457	1372
250	458	1368
251	459	1364
252	461	1361
253	462	1357
254	463	1353
255	464	1350
256	465	1346
257	467	1343
258	468	1339
259	469	1335
260	470	1332
261	471	1328
262	472	1324
263	474	1321
264	475	1318
265	476	1314
266	477	1311
267	478	1307
268	480	1304
269	481	1300
270	482	1297
271	483	1293
272	484	1290
